txId,class
232438397,2
232029206,2
232344069,2
27553029,2
3881097,2
232457116,2
232412405,2
232470342,2
230550393,2
232051089,2
232470704,2
232033533,2
230473487,2
7089694,2
231179595,2
231177927,2
2758467,2
232437171,2
3878886,2
231182296,2
14660781,2
43358239,2
230528714,2
230585122,2
2881274,2
2881273,2
230516478,2
5488136,2
27553759,2
232467632,2
231181128,2
232453404,2
230447764,2
230423018,2
232392936,2
152498092,2
89273,2
3906238,2
230973596,2
232455956,2
38062994,2
230423318,2
232453639,2
232453630,2
51860219,2
230522097,2
1913117,2
232909272,2
231177063,2
206222134,2
192431356,2
200165930,2
230432611,2
230966618,2
230512979,2
230674241,2
230918484,2
40297647,2
230447404,2
3877919,2
231995264,2
232468876,2
189305695,2
232440027,2
232448376,2
230537133,2
13805515,2
230470027,2
230449513,2
230449518,2
232457903,2
11011839,2
230391412,2
230465219,2
2880930,2
230452144,2
2706899,2
230681119,2
232472581,2
232916687,2
232440137,2
230639246,2
232415197,2
230555921,2
230521269,2
230521266,2
232047899,2
230597986,2
3878899,2
230437630,2
230649117,2
232353291,2
233227310,2
232361296,2
232361286,2
231996124,2
230473483,2
230523211,2
230523207,2
232035051,2
232036661,2
232009889,2
230437700,2
5662056,2
230522934,2
40623301,2
2920819,2
230473461,2
232470504,2
232054853,2
230444451,2
230451735,2
230528722,2
230528710,2
3875116,2
230520120,2
230531174,2
232446225,2
182442258,2
230681123,2
232037400,2
232037399,2
3385562,2
232354183,2
14942862,2
195237909,2
230421654,2
232392931,2
3876606,2
232460526,2
230539732,2
232431910,2
230444448,2
230464771,2
232431931,2
232034284,2
198358107,2
230456623,2
230470029,2
230438482,2
230438479,2
5197391,2
230411274,2
230537141,2
230345439,2
14713336,2
230331387,2
231993291,2
2912780,2
3891191,2
3851887,2
232349072,2
20299716,2
230686565,2
86353799,2
232472561,2
3114489,2
107227719,2
232002739,2
232907894,2
232037090,2
230444459,2
13285375,2
230457093,2
230457090,2
233842379,2
232457179,2
232448785,2
232448783,2
156330450,2
232440028,2
3877118,2
51140228,2
232031824,2
232473204,2
232039890,2
232039888,2
230411328,2
2718195,2
2865010,2
226889376,2
27279853,2
27527984,2
230354384,2
230473578,2
232465856,2
131659143,2
230456385,2
230456384,2
3912534,2
230527759,2
195215469,2
230540196,2
230338271,2
3881827,2
232072340,2
73191409,2
232431935,2
232440097,2
230557022,2
232472215,2
232472220,2
232907868,2
230516004,2
231179652,2
232465409,2
3898382,2
33453302,2
3876980,2
3876998,2
11343564,2
230412060,2
232795825,2
231998448,2
231998131,2
31663613,2
231253425,2
213736040,2
75604916,2
230621237,2
3408161,2
3882798,2
232401224,2
230354705,2
195237911,2
86261919,2
232904582,2
232440109,2
230650904,2
231995257,2
232035280,2
3857826,2
232448379,2
230523203,2
88055509,2
37234025,2
232427169,2
232433797,2
8390228,2
230516459,2
231996113,2
230465376,2
13995945,2
230442067,2
232898395,2
230683551,2
230530058,2
230530049,2
230523246,2
232431929,2
230578938,2
230649124,2
230434020,2
232034946,2
230438483,2
230602580,2
232359151,2
230465378,2
230465367,2
234075335,2
3874964,2
3912536,2
230877155,2
232629023,1
231573972,2
230595373,2
63006056,2
232903605,2
230552340,2
232008165,2
230438538,2
230468041,2
21696454,2
75597421,2
230555001,2
232443614,2
232448385,2
230414055,2
232009699,2
60492027,2
230550396,2
230612860,2
230465374,2
230404574,2
230404572,2
230539729,2
231223914,2
230557027,2
230339760,2
232014505,2
230556839,2
3420566,2
3877087,2
232431388,2
230650915,2
230468042,2
54492383,2
232034651,2
230465227,2
232440023,2
230438845,2
99600686,2
3420754,2
232062518,2
232448383,2
230528720,2
234024792,2
232383230,2
230526938,2
2717498,2
230406515,2
232906649,2
232900729,2
231995762,2
230334819,2
232346245,2
230969365,2
5119722,2
231192284,2
232428618,2
231502557,2
230464780,2
232906716,2
230451730,2
232454798,2
54732584,2
232907285,2
234459963,2
232443612,2
232444880,2
3880766,2
232459630,2
232907037,2
14938386,2
230539308,2
57319992,2
34300577,2
3880667,2
3877983,2
3880653,2
3876487,2
230552370,2
7398153,2
232013266,2
230579563,2
230594521,2
232034264,2
232353289,2
36815216,2
37232699,2
82072649,2
232346255,2
232037045,2
230438467,2
231995064,2
230438854,2
230466907,2
231169665,2
232432895,2
192393975,2
232036650,2
232034945,2
232036658,2
232448771,2
232054858,2
37234018,2
230444846,2
230602655,2
231995249,2
230473480,2
232377100,2
230438870,2
232439373,2
232895871,2
230400498,2
232892365,2
230578992,2
7089693,2
14847524,2
59184908,2
232448362,2
3376469,2
71369990,2
230531646,2
230529025,2
230968861,2
231179638,2
230391875,2
230440348,2
71384764,2
232396277,2
230389796,1
231178835,2
231179679,2
230970140,2
232703120,2
3903937,2
230946692,2
230946408,2
232351322,2
230659434,2
3239815,2
231177887,2
230577432,2
230451739,2
195233844,2
3880017,2
230473478,2
230339649,2
230601403,2
232431904,2
230511920,2
232034934,2
230461032,2
14558195,2
3880117,2
232050845,2
230436744,2
230649126,2
230649197,2
230680288,2
230529165,2
3880029,2
3880150,2
232914298,2
232453410,2
209968186,2
75332827,2
234461480,2
232009704,2
230468668,2
230468013,2
232034707,2
230526083,2
230339756,2
3408102,2
230602597,2
230473598,2
230438487,2
230461033,2
232345690,2
232440022,2
232009938,2
232686009,2
7089467,2
230523235,2
230704774,2
230523280,2
230523277,2
232447731,2
14713334,2
37786466,2
231241751,2
196629648,2
232913899,2
12878074,2
7757447,2
232468003,2
182448481,2
213736062,2
230468660,2
231995245,2
232008172,2
33471466,2
232031788,2
232440020,2
232675758,2
232919404,2
55022339,2
230642655,2
230340190,2
230945818,2
230393704,2
232439983,2
230473317,2
230579323,2
232001679,2
230405614,2
230968952,2
232039876,2
231133568,2
230473481,2
3880165,2
232363568,2
3898178,2
230438486,2
232443223,2
230459077,2
232049567,2
230444454,2
3789059,2
212689472,2
232958804,2
230580831,2
52876520,2
230528723,2
232346248,2
230529178,2
54735269,2
230437640,2
230456624,2
230436742,2
230436739,2
230439442,2
232904028,2
232046508,2
232061267,2
32976149,2
7550645,2
230623077,2
232908843,2
232001654,2
232958826,2
232907272,2
227338369,2
230649815,2
230469214,2
231028831,2
230403082,2
230941366,2
230436760,2
5051852,2
3399363,2
3880228,2
230599192,2
230596505,2
232429322,2
230646172,2
230438516,2
230745440,2
232454108,2
230465660,2
232959353,2
230579331,2
231994045,2
230468693,2
233307261,2
230527319,2
3913226,2
54732017,2
230469660,2
230917943,2
232444878,2
3318945,2
231995755,2
230456718,2
230456714,2
231177078,2
3878618,2
3878633,2
230969607,2
234457549,2
232458515,2
230526943,2
232439984,2
231179622,2
232034942,2
59397801,2
3880576,2
3421848,2
3407031,2
230326431,2
232347748,2
232472551,2
230814630,2
232940307,2
7402053,2
7529721,2
230520418,2
54734928,2
230339481,2
230531648,2
32879801,2
230468707,2
230470037,2
232453418,2
231836233,2
230439297,2
232392089,2
232468004,2
232440111,2
232444502,2
232959352,2
92491280,2
14307861,2
3276131,2
231995676,2
230473477,2
232042969,2
230444452,2
230433276,2
232047924,2
230326754,2
230569377,2
230522178,2
3403094,2
204257865,2
232035283,2
231993125,2
232644856,2
228711624,2
230389794,2
230389787,2
230901075,2
230665248,2
230557024,2
19128841,2
230406766,2
232039878,2
230331370,2
230531168,2
232386556,2
230599592,2
230552326,2
3402672,2
231034733,2
231177403,2
230405597,2
230456618,2
230531645,2
32120805,2
230523204,2
230438474,2
232444501,2
3904474,2
230437634,2
230331217,2
232339043,2
36419682,2
230529042,2
230518022,2
232350958,2
232351007,2
34984461,2
234075333,2
230537139,2
230539713,2
230516449,2
232431845,2
230969943,2
231180580,2
231028913,2
230465357,2
232456339,2
230540206,2
84673906,2
29922517,2
92571083,2
230468734,2
230469212,2
230468732,2
232456367,2
230468057,2
87889642,2
232038325,2
231180581,2
232040050,2
28359967,2
232034950,2
230464782,2
232457891,2
230457870,2
232432879,2
195312780,2
204236566,2
34300945,2
230969378,2
230578985,2
4959428,2
10437353,2
232457123,2
230649652,2
230550407,2
230449516,2
3897291,2
230595336,2
232348091,2
232344790,2
2813778,2
87823623,2
232348828,2
232037410,2
230339468,2
230557033,2
232349132,2
232456357,2
230473476,2
232042915,2
92491279,2
230433803,2
232052547,2
232453648,2
232036662,2
230437638,2
230437632,2
232399133,2
230456706,2
230594153,2
21696456,2
34984980,2
230471551,2
6134533,2
232959333,2
230651829,2
230525697,2
230647313,2
232904744,2
230438492,2
230464783,2
231141205,2
232037102,2
232034949,2
231180588,2
232440024,2
232448418,2
24615598,2
53678687,2
5043402,2
198640224,2
230537134,2
230670897,2
230464945,2
230464795,2
230658522,2
76172036,2
3385845,2
219821009,2
1494462,2
230458594,2
3403739,2
3404363,2
233229832,2
230457454,2
230457451,2
230847079,2
18224137,2
10983754,2
36716791,2
3876912,2
232397581,2
226861434,2
230471914,2
232348190,2
230336184,2
232396270,2
230610774,2
230523200,2
232444882,2
230471896,2
230653291,2
230418063,2
205866484,2
230347018,2
207801396,2
5051906,2
42094373,2
14678301,2
230578984,2
293323,2
17387772,1
232037100,2
230468406,2
232906420,2
183323666,2
230522108,2
232363566,2
232002810,2
230473314,2
230969919,2
232679753,2
31188978,2
231996118,2
230411642,2
232461949,2
232014220,2
230451676,2
230438476,2
232440104,2
230530336,2
230529053,2
230529048,2
230969390,2
232947878,1
15087677,2
230527751,2
230539741,2
230448375,2
230456710,2
230670903,2
230339493,2
230538139,2
218531044,2
231026136,2
232443618,2
232349074,2
231997273,2
9359039,2
230470020,2
230527771,2
230527765,2
230513473,2
3881066,2
3875041,2
3399422,2
232472206,2
232472208,2
230412050,2
230432972,2
232043907,2
230471915,2
230453424,2
230519614,2
230519610,2
230468417,2
3847417,2
2855928,2
151078127,2
230468265,2
232910088,2
3426724,2
3903393,2
230326373,2
212700985,2
73235357,2
31919623,2
230436948,2
3876550,2
230527184,2
11256536,2
230456729,2
21696830,2
230456625,2
95764515,2
234029888,2
232440098,2
230681578,2
230405994,2
28798027,2
230528725,2
232444499,2
230336050,2
230456717,2
232058910,2
230423012,2
3405622,2
231017514,2
232925804,2
232006620,2
230556023,2
230910616,2
3890589,2
230530295,2
3878606,2
27800808,2
232451376,2
232457915,2
230468025,2
227496946,2
230464759,2
232440106,2
208587985,2
24138725,2
3402009,2
230423334,2
230439798,2
232033953,2
230470039,2
230390233,2
205393464,2
36667095,2
230468782,2
92571081,2
232041790,2
231176204,2
232404249,2
234445407,2
234068812,2
230523212,2
230529016,2
230556838,2
213007221,2
230422126,2
232009676,2
95679861,2
231176188,2
39522302,2
230968958,2
232472244,2
230528695,2
232407734,2
232382462,2
230557030,2
19609789,2
3423872,2
3402165,2
231997307,2
230529044,2
230529040,2
3881167,2
230448396,2
71367715,2
232031596,2
232464074,2
54734938,2
232051671,2
232351356,2
232448399,2
230639670,2
3878742,2
232901095,2
57801713,2
234074001,2
232047756,2
232031839,2
230439444,2
232464796,2
54735205,2
29846258,2
49960790,2
232398771,2
232037044,2
232471941,2
232034936,2
28297225,2
232402715,2
232350659,2
231028817,2
5485746,2
3863824,2
231026786,2
231028826,2
232471961,2
232472197,2
232033982,2
96928468,2
230661984,2
230524976,2
223097307,2
232431898,2
16754007,1
230438472,2
16464132,2
234419685,2
13805513,2
230444456,2
232440017,2
230465231,2
5530776,2
230649107,2
226890719,2
214488573,2
230847009,2
230872133,2
232047414,2
232047419,2
230339477,2
232039381,2
231995683,2
232051527,2
231995763,2
232360625,2
3881912,2
232460292,2
3878718,2
230464776,2
231997274,2
230968860,2
4454658,2
17128828,2
230456630,2
232050300,2
14843588,2
219834363,2
230085413,2
232461244,2
230634613,2
231996114,2
230968962,2
232002737,2
232339923,2
232046855,2
166991225,2
230331390,2
21696459,2
230339682,2
9221284,2
232457167,2
231997275,2
230472241,2
232544880,2
230333626,2
230602355,2
230468274,2
2785734,2
232469426,2
3420267,2
230403088,2
230339212,2
23812310,2
232037097,2
230531148,2
230444461,2
230575895,2
2850007,2
231180585,2
230847053,2
232354197,2
3405488,2
230552328,2
232402903,2
82706446,2
230448391,2
102029923,2
34381792,2
9425781,2
230550385,2
231995679,2
230650549,2
60346552,2
222383269,2
3881930,2
230405609,2
232430439,2
5484969,2
171144288,2
232342103,2
88636308,2
3386635,2
230465736,2
232910077,2
230339465,2
232348856,2
232907295,2
232348187,2
15192868,2
232680483,2
230446331,2
3378829,2
227105852,2
232009733,2
14843991,2
232460557,2
230464769,2
206142478,2
3925147,2
230452481,2
3880693,2
230658172,2
230391409,2
232467634,2
230459282,2
232959336,2
3401448,2
3401466,2
230659139,2
230659146,2
232034941,2
232040293,2
230527735,2
14827602,2
230444849,2
230339770,2
230470033,2
230592577,2
195237910,2
232039084,2
232902113,2
232047417,2
232014513,2
3420521,2
230352213,2
2834813,2
36329945,2
230580829,2
230444845,2
3875073,2
231179610,2
3094131,2
230468825,2
232462281,2
232462210,2
230461379,2
230345455,2
13272601,2
230712278,2
230468835,2
231995671,2
231193137,2
232669764,2
232034952,2
7089453,2
230523196,2
3775711,2
3757070,2
231996116,2
3916897,2
230453431,2
230405605,2
230598857,2
230439990,2
230327318,2
230524949,2
230468711,2
226902381,2
230530273,2
5514838,2
3391095,2
3400134,2
232457913,2
6172367,2
230521271,2
232956935,2
232409108,2
232031789,2
232073795,2
22949002,2
230452742,2
71367974,2
230468700,2
232941800,2
3881866,2
232458909,2
230338249,2
230436750,2
232377112,2
230352707,2
14353875,2
230473599,2
230684633,2
3876512,2
230438477,2
230394594,2
230578491,2
3383995,2
231188282,2
232460270,2
230647320,2
232462285,2
71373984,2
230516860,2
230470045,2
3387591,2
230680374,2
231178359,2
3846528,2
3874463,2
231827448,2
230444847,2
87977367,2
14939186,2
2826263,2
230578501,2
232339344,2
102874126,2
40424704,2
232359149,2
230524968,2
230423455,2
230946668,2
230468082,2
231996125,2
232778357,2
230521268,2
230422092,2
230422090,2
232959346,2
196619563,2
40587631,2
76865991,2
232349071,2
210449235,2
232437287,2
232443607,2
230524982,2
232033556,2
10975232,2
230343128,2
230436737,2
230468425,2
230522946,2
230522941,2
217239370,2
3768941,2
3766651,2
76866560,2
231995250,2
230468684,2
232046504,2
230448370,2
232926072,2
230464766,2
230456734,2
2893827,2
192823764,2
3851279,2
121435080,2
230468689,2
230444788,2
71369016,2
84863672,2
230331213,2
219986489,2
230636186,2
230746742,2
230646558,2
232013493,2
232469437,2
22179034,2
68869,2
98259794,2
230436736,2
230793200,2
232350621,2
4443254,2
230550390,2
230788563,2
232459969,2
54732579,2
230452750,2
3740213,2
232051667,2
29610273,2
230569372,2
17790701,2
206786861,2
232443613,2
3871340,2
232446202,2
232443617,2
230452774,2
230424227,2
232907885,2
118658775,2
230539743,2
232352910,2
54735206,2
230424173,2
194837559,2
230516021,2
195498536,2
230468036,2
230391405,2
71017657,2
230456622,2
230459284,2
231995677,2
3881941,2
232456882,2
37232600,2
230663643,2
23256400,2
230338678,2
230595710,2
232034939,2
230468662,2
36266605,2
22115259,2
232034935,2
232036647,2
4054666,2
232407750,2
230659437,2
232448765,2
230436761,2
231180839,2
16640457,2
230658276,2
230537124,2
11340045,2
231997599,2
230465641,2
230578983,2
231993748,2
231996119,2
13015066,2
195227601,2
3740000,2
23518684,2
230437633,2
212359535,2
183140871,2
230451734,2
3403763,2
151359615,2
230527756,2
12946183,2
232401501,2
2858652,2
4932775,2
73119987,2
183781611,2
3424818,2
230965656,2
230585461,2
13239483,2
89682133,2
175036641,2
231997280,2
65821867,2
230965629,2
230965871,2
231996108,2
232395451,2
232637274,2
230464751,2
230456709,2
7658496,2
230411688,2
3881497,2
232409454,2
2453685,2
231182310,2
232009689,2
7991441,2
40255840,2
232472201,2
231990430,1
230515089,2
232033970,2
230643592,2
230679216,2
54735201,2
230343385,2
230350275,2
230564000,2
231995681,2
88541341,2
230530244,2
232039074,2
205392811,2
230394576,2
232353604,2
230703697,2
232448372,2
3401438,2
230539744,2
230461358,2
232467026,2
230592118,2
230531172,2
230461031,2
3916977,2
13239490,2
232439175,2
232439173,2
232444504,2
3880822,2
230446998,2
37755948,2
10687175,2
232926666,2
230448070,2
3925879,2
3878647,2
3857656,2
230457866,2
14849314,2
6560240,2
37233988,2
232346253,2
83251669,2
232470552,2
3408181,2
231995678,2
230575457,2
54306935,2
232014511,1
40941775,2
230438471,2
232904579,2
230426000,2
230540207,2
230748737,2
232927787,2
231175570,2
231996111,2
232448788,2
183837394,2
183323759,2
232702305,2
230412485,2
230528742,2
230339691,2
230679220,2
54732610,2
12760744,2
14222967,2
24141114,1
8069717,2
232398772,2
232413670,2
230527774,2
232398593,2
3424859,2
3445065,2
3875725,2
18010442,2
232377094,2
2718035,2
